start,end,date,region,cercle,quartier,marche,consent,marches_produits,marches_produits_alimentaires
2023-07-16T10:05:49Z,2023-07-16T10:24:36Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Grand Marché Medina Coura,Oui,Alimentaires,1
2023-07-16T10:52:51Z,2023-07-16T11:18:41Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Milieu Medina Coura,Oui,Alimentaires,1
2023-07-16T12:06:22Z,2023-07-16T12:27:27Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Casier Medina Coura,Oui,Nfi,0
2023-07-16T12:27:42Z,2023-07-16T12:46:42Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Casier Medina Coura,Oui,Nfi,0
2023-07-16T09:53:11Z,2023-07-16T10:10:08Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Grand Marché Medina Coura,Oui,Nfi,0
2023-07-16T10:25:54Z,2023-07-16T10:42:09Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Grand Marché Medina Coura,Oui,Alimentaires,1
2023-07-16T11:01:59Z,2023-07-16T11:21:14Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Milieu Medina Coura,Oui,Nfi,0
2023-07-16T11:21:30Z,2023-07-16T11:40:07Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Milieu Medina Coura,Oui,Alimentaires,1
2023-07-16T12:18:58Z,2023-07-16T12:52:34Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Marché Du Casier Medina Coura,Oui,Alimentaires,1
2023-07-16T09:37:00Z,2023-07-16T10:00:02Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Grand Marché Medina Coura,Oui,Alimentaires,1
2023-07-16T10:13:00Z,2023-07-16T10:33:40Z,2023-07-16T00:00:00Z,Mopti,Cercle À Mopti,Medina Coura,Grand Marché Medina Coura,Oui,Alimentaires,1
